0 0  0.47 0.3
2.3852 18.0336  2.85 18.34
2.4019 18.1120  2.87 18.41
2.4118 18.3622  2.88 18.66
2.4213 18.6129  2.89 18.91
2.4298 18.8638  2.9 19.17
2.4381 19.1141  2.91 19.42
2.4466 19.3645  2.92 19.67
2.4554 19.6149  2.92 19.92
2.4642 19.8657  2.93 20.17
2.4730 20.1160  2.94 20.42
2.4819 20.3668  2.95 20.67
2.4908 20.6170  2.96 20.92
2.5000 20.8671  2.97 21.17
2.5093 21.1173  2.98 21.42
2.5182 21.3676  2.99 21.67
2.5270 21.6184  3 21.92
2.5354 21.8685  3 22.17
2.5438 22.1185  3.01 22.42
2.5523 22.3686  3.02 22.67
2.5605 22.6193  3.03 22.92
2.5687 22.8694  3.04 23.17
2.5770 23.1199  3.05 23.42
2.5850 23.3706  3.05 23.67
2.5930 23.6210  3.06 23.92
2.6008 23.8712  3.07 24.17
2.6084 24.1220  3.08 24.42
2.6161 24.3723  3.08 24.67
2.6235 24.6223  3.09 24.92
2.6309 24.8733  3.1 25.18
2.6382 25.1245  3.11 25.43
2.6456 25.3753  3.11 25.68
2.6528 25.6256  3.12 25.93
2.6599 25.8765  3.13 26.18
2.6668 26.1270  3.14 26.43
2.6738 26.3778  3.14 26.68
2.6807 26.6281  3.15 26.93
2.6875 26.8785  3.16 27.18
2.6944 27.1294  3.16 27.43
2.7013 27.3794  3.17 27.68
2.7080 27.6302  3.18 27.93
2.7149 27.8805  3.18 28.18
2.7219 28.1317  3.19 28.43
2.7286 28.3821  3.2 28.68
2.7353 28.6333  3.2 28.94
2.7419 28.8843  3.21 29.19
2.7486 29.1353  3.22 29.44
2.7557 29.3859  3.22 29.69
2.7627 29.6367  3.23 29.94
2.7696 29.8875  3.24 30.19
2.7764 30.1386  3.25 30.44
2.7830 30.3892  3.25 30.69
2.7899 30.6401  3.26 30.94
2.7964 30.8906  3.27 31.19
2.8029 31.1409  3.27 31.44
2.8095 31.3915  3.28 31.69
2.8161 31.6427  3.28 31.94
2.8226 31.8931  3.29 32.19
2.8291 32.1433  3.3 32.44
2.8355 32.3944  3.3 32.7
2.8419 32.6449  3.31 32.95
2.8482 32.8952  3.32 33.2
2.8546 33.1461  3.32 33.45
2.8609 33.3966  3.33 33.7
2.8675 33.6475  3.34 33.95
2.8740 33.8979  3.34 34.2
2.8802 34.1483  3.35 34.45
2.8863 34.3986  3.36 34.7
2.8926 34.6487  3.36 34.95
2.8987 34.8988  3.37 35.2
2.9049 35.1498  3.37 35.45
2.9111 35.4000  3.38 35.7
2.9174 35.6508  3.39 35.95
2.9236 35.9014  3.39 36.2
2.9298 36.1515  3.4 36.45
2.9359 36.4017  3.4 36.7
2.9420 36.6527  3.41 36.95
2.9482 36.9029  3.42 37.2
2.9544 37.1534  3.42 37.46
2.9607 37.4036  3.43 37.71
2.9670 37.6540  3.44 37.96
2.9733 37.9044  3.44 38.21
2.9794 38.1547  3.45 38.46
2.9858 38.4057  3.45 38.71
2.9922 38.6570  3.46 38.96
2.9984 38.9073  3.47 39.21
3.0046 39.1583  3.47 39.46
3.0109 39.4091  3.48 39.71
3.0170 39.6595  3.49 39.96
3.0232 39.9104  3.49 40.21
3.0295 40.1610  3.5 40.46
3.0356 40.4116  3.5 40.71
3.0418 40.6616  3.51 40.96
3.0481 40.9122  3.52 41.21
3.0541 41.1628  3.52 41.46
3.0601 41.4131  3.53 41.71
3.0661 41.6641  3.53 41.97
3.0721 41.9148  3.54 42.22
3.0779 42.1656  3.55 42.47
3.0838 42.4166  3.55 42.72
3.0897 42.6669  3.56 42.97
3.0954 42.9173  3.56 43.22
3.1012 43.1684  3.57 43.47
3.1069 43.4190  3.58 43.72
3.1126 43.6695  3.58 43.97
3.1185 43.9199  3.59 44.22
3.1244 44.1704  3.59 44.47
3.1303 44.4208  3.6 44.72
3.1362 44.6721  3.61 44.97
3.1422 44.9225  3.61 45.22
3.1481 45.1738  3.62 45.48
3.1542 45.4251  3.62 45.73
3.1601 45.6758  3.63 45.98
3.1662 45.9265  3.63 46.23
3.1722 46.1770  3.64 46.48
3.1783 46.4279  3.65 46.73
3.1845 46.6783  3.65 46.98
3.1907 46.9292  3.66 47.23
3.1968 47.1794  3.67 47.48
3.2029 47.4307  3.67 47.73
3.2091 47.6809  3.68 47.98
3.2152 47.9313  3.68 48.23
3.2217 48.1818  3.69 48.48
3.2283 48.4323  3.7 48.73
3.2349 48.6825  3.7 48.98
3.2414 48.9329  3.71 49.23
3.2480 49.1831  3.72 49.48
3.2544 49.4344  3.72 49.74
3.2605 49.6852  3.73 49.99
3.2668 49.9363  3.74 50.24
3.2732 50.1874  3.74 50.49
3.2794 50.4381  3.75 50.74
3.2857 50.6889  3.75 50.99
3.2920 50.9391  3.76 51.24
3.2984 51.1902  3.77 51.49
3.3047 51.4404  3.77 51.74
3.3111 51.6906  3.78 51.99
3.3176 51.9418  3.79 52.24
3.3242 52.1920  3.79 52.49
3.3245 52.2049  3.79 52.51
    
    

